OBJECTID,OpportunityZones_GEOID10,OpportunityZones_COUNTYNAME,OpportunityZones_QOZ,Shape_Length,Shape_Area
1,02013000100,Aleutians East,DESIGNATEDQOZ,31.279234247203,5.48999218499497
2,02016000100,Aleutians West,DESIGNATEDQOZ,48.714415403596,4.05351882778403
3,02020000300,Anchorage,DESIGNATEDQOZ,1.67613098837331,0.0544009170467049
4,02020001900,Anchorage,DESIGNATEDQOZ,0.118770211222966,0.000748004743353311
5,02090000100,Fairbanks North Star,DESIGNATEDQOZ,0.0899525313389087,0.000293459500805082
6,02020000600,Anchorage,DESIGNATEDQOZ,0.21295289643362,0.000643258145249229
7,02020000702,Anchorage,DESIGNATEDQOZ,0.0777098261864452,0.000349976669593713
8,02020000703,Anchorage,DESIGNATEDQOZ,0.111111139227956,0.00046745643397896
9,02020001000,Anchorage,DESIGNATEDQOZ,0.0748607851954309,0.000292168892995685
10,02020002000,Anchorage,DESIGNATEDQOZ,0.059772117901831,0.000222717250528086
11,02050000300,Bethel,DESIGNATEDQOZ,22.1447706265772,8.41904866904537
12,02090000200,Fairbanks North Star,DESIGNATEDQOZ,0.146977085285688,0.000876194888322579
13,02090001100,Fairbanks North Star,DESIGNATEDQOZ,5.52762975684717,0.588535275832043
14,02100000100,Haines,DESIGNATEDQOZ,8.47032279364249,1.11304229951662
15,02105000300,Hoonah-Angoon,DESIGNATEDQOZ,17.1901600055481,3.78420653983594
16,02122000100,Kenai Peninsula,DESIGNATEDQOZ,12.3465337839011,4.8103629889997
17,02185000200,North Slope,DESIGNATEDQOZ,60.848474802505,53.3466166345169
18,02198000100,Prince of Wales-Hyder,DESIGNATEDQOZ,13.4704594344692,3.80493414631413
19,02198940100,Prince of Wales-Hyder,DESIGNATEDQOZ,1.34779570591664,0.095451957676191
20,02290000200,Yukon-Koyukuk,DESIGNATEDQOZ,48.2225429394902,20.7545263544297
21,02275000300,Wrangell,DESIGNATEDQOZ,6.69136428224996,1.30603449748128
22,02170000701,Matanuska-Susitna,DESIGNATEDQOZ,0.447324403767914,0.00797108920004695
23,02170000401,Matanuska-Susitna,DESIGNATEDQOZ,0.574739931314895,0.0100058509205485
24,02180000100,Nome,DESIGNATEDQOZ,40.8552362134638,13.3842140563053
25,02188000100,Northwest Arctic,DESIGNATEDQOZ,37.1886933946994,21.1169672375369
