OBJECTID,EntityName,NumberOfDropouts,DropoutRate,SchoolYear,Year,shape
932,Chugach School District,5,0.045,2012/2013,2013,
933,Chugach School District,1,0.008,2013/2014,2014,
934,Chugach School District,8,0.06,2014/2015,2015,
935,Chugach School District,5,0.034,2015/2016,2016,
936,Chugach School District,5,0.034,2015/2016,2016,
937,Chugach School District,8,0.044,2016/2017,2017,
959,Unalaska City School District,2,0.01,2011/2012,2012,
960,Unalaska City School District,1,0.005,2012/2013,2013,
980,Skagway School District,0,0,2011/2012,2012,
981,Skagway School District,0,0,2012/2013,2013,
982,Skagway School District,0,0,2013/2014,2014,
983,Skagway School District,0,0,2014/2015,2015,
984,Skagway School District,0,0,2015/2016,2016,
985,Skagway School District,0,0,2015/2016,2016,
986,Skagway School District,1,0.024,2016/2017,2017,
995,Petersburg Borough School District,1,0.005,2011/2012,2012,
996,Petersburg Borough School District,4,0.017,2012/2013,2013,
997,Petersburg Borough School District,0,0,2013/2014,2014,
998,Petersburg Borough School District,3,0.014,2014/2015,2015,
999,Petersburg Borough School District,0,0,2015/2016,2016,
1000,Petersburg Borough School District,0,0,2015/2016,2016,
1001,Petersburg Borough School District,4,0.018,2016/2017,2017,
1028,Yukon-Koyukuk School District,40,0.064,2011/2012,2012,
