X,Y,CommunityName,ReportingPeriod,ReportingYear,GasRetailGal,EntityName,ReportingSeason,ReportingDate,AsOfDate,OBJECTID
-310203.95042872,1891560.16964191,Noorvik,Jan,2019,6.0632,Morris Trading Post,Winter,2019/01/15 09:00:00+00,,62
-310203.95042872,1891560.16964191,Noorvik,Jul,2017,5.83,Morris Trading Post,Summer,2017/07/15 08:00:00+00,,434
-310203.95042872,1891560.16964191,Noorvik,Jan,2017,6.06,Morris Trading Post,Winter,2017/01/15 09:00:00+00,,334
-447479.312091524,1667267.50587921,White Mountain,Jul,2017,3.65,White Mountain Native Store,Summer,2017/07/15 08:00:00+00,,471
-447479.312091524,1667267.50587921,White Mountain,Jan,2017,3.65,White Mountain Native Store,Winter,2017/01/15 09:00:00+00,,371
-447479.312091524,1667267.50587921,White Mountain,Jul,2018,4.4541,White Mountain Native Store,Summer,2018/07/15 08:00:00+00,,271
-447479.312091524,1667267.50587921,White Mountain,Jan,2018,3.65,White Mountain Native Store,Winter,2018/01/15 09:00:00+00,,199
-447479.312091524,1667267.50587921,White Mountain,Jan,2019,4.4541,White Mountain Native Store,Winter,2019/01/15 09:00:00+00,,99
-281947.629636162,1904401.94665282,Kiana,Jul,2017,6,City of Kiana,Summer,2017/07/15 08:00:00+00,,417
-281947.629636162,1904401.94665282,Kiana,Jan,2017,6.18,Kiana Traditional Council,Winter,2017/01/15 09:00:00+00,,317
-281947.629636162,1904401.94665282,Kiana,Jul,2018,6.18,Kiana Traditional Council,Summer,2018/07/15 08:00:00+00,,217
-281947.629636162,1904401.94665282,Kiana,Jan,2018,6.18,Kiana Traditional Council,Winter,2018/01/15 09:00:00+00,,145
-281947.629636162,1904401.94665282,Kiana,Jan,2019,6.18,Kiana Traditional Council,Winter,2019/01/15 09:00:00+00,,45
-441451.852918794,1110782.82189395,Quinhagak,Jan,2018,6.23,Qanirtuuq Corporation,Winter,2018/01/15 09:00:00+00,,174
-441451.852918794,1110782.82189395,Quinhagak,Jan,2019,6.13,Qanirtuuq Corporation,Winter,2019/01/15 09:00:00+00,,74
-441451.852918794,1110782.82189395,Quinhagak,Jul,2017,5.65,Qanirtuuq Corporation,Summer,2017/07/15 08:00:00+00,,446
-441451.852918794,1110782.82189395,Quinhagak,Jan,2017,5.65,Qanirtuuq Corporation,Winter,2017/01/15 09:00:00+00,,346
-441451.852918794,1110782.82189395,Quinhagak,Jul,2018,6.1285,Qanirtuuq Corporation,Summer,2018/07/15 08:00:00+00,,246
-805515.136213651,1625678.78277187,Savoonga,Jul,2017,4.65,ANICA (Savoonga Native Store),Summer,2017/07/15 08:00:00+00,,452
-805515.136213651,1625678.78277187,Savoonga,Jan,2017,4.85,ANICA (Savoonga Native Store),Winter,2017/01/15 09:00:00+00,,352
-805515.136213651,1625678.78277187,Savoonga,Jul,2018,4.738,ANICA (Savoonga Native Store),Summer,2018/07/15 08:00:00+00,,252
-805515.136213651,1625678.78277187,Savoonga,Jan,2018,4.65,ANICA (Savoonga Native Store),Winter,2018/01/15 09:00:00+00,,180
-805515.136213651,1625678.78277187,Savoonga,Jan,2019,4.6,ANICA (Savoonga Native Store),Winter,2019/01/15 09:00:00+00,,80
-410655.966695141,1531965.84908907,Stebbins,Jul,2017,4.97,Tapraq Fuel Company,Summer,2017/07/15 08:00:00+00,,457
-410655.966695141,1531965.84908907,Stebbins,Jan,2017,5.57,Tapraq Fuel Company,Winter,2017/01/15 09:00:00+00,,357
-410655.966695141,1531965.84908907,Stebbins,Jul,2018,5.02,Tapraq Fuel Company,Summer,2018/07/15 08:00:00+00,,257
-410655.966695141,1531965.84908907,Stebbins,Jan,2018,4.97,Tapraq Fuel Company,Winter,2018/01/15 09:00:00+00,,185
-410655.966695141,1531965.84908907,Stebbins,Jan,2019,5.06,Tapraq Fuel Company,Winter,2019/01/15 09:00:00+00,,85
-480768.456775202,1486120.89410419,Kotlik,Jul,2017,5.56,Kotlik Yupik Enterprises,Summer,2017/07/15 08:00:00+00,,421
-480768.456775202,1486120.89410419,Kotlik,Jan,2017,5.57,Kotlik Yupik Enterprises,Winter,2017/01/15 09:00:00+00,,321
-480768.456775202,1486120.89410419,Kotlik,Jul,2018,6.3345,Kotlik Yupik Enterprises,Summer,2018/07/15 08:00:00+00,,221
-480768.456775202,1486120.89410419,Kotlik,Jan,2018,5.95,Kotlik Yupik Enterprises,Winter,2018/01/15 09:00:00+00,,149
-480768.456775202,1486120.89410419,Kotlik,Jan,2019,6.18,Kotlik Yupik Enterprises,Winter,2019/01/15 09:00:00+00,,49
1110.1843822052,837018.823366526,Larsen Bay,Jan,2018,4.17,City of Larsen Bay,Winter,2018/01/15 09:00:00+00,,153
1110.1843822052,837018.823366526,Larsen Bay,Jan,2019,4.15,City of Larsen Bay,Winter,2019/01/15 09:00:00+00,,53
1110.1843822052,837018.823366526,Larsen Bay,Jul,2017,4.17,City of Larsen Bay,Summer,2017/07/15 08:00:00+00,,425
1110.1843822052,837018.823366526,Larsen Bay,Jan,2017,4.3,City of Larsen Bay,Winter,2017/01/15 09:00:00+00,,325
1110.1843822052,837018.823366526,Larsen Bay,Jul,2018,4.2951,City of Larsen Bay,Summer,2018/07/15 08:00:00+00,,225
-861997.814284141,1650244.02734943,Gambell,Jul,2017,4.65,ANICA (Gambell Native Store),Summer,2017/07/15 08:00:00+00,,400
-861997.814284141,1650244.02734943,Gambell,Jan,2017,5,ANICA (Gambell Native Store),Winter,2017/01/15 09:00:00+00,,300
-861997.814284141,1650244.02734943,Gambell,Jan,2018,4.65,ANICA (Gambell Native Store),Winter,2018/01/15 09:00:00+00,,128
-861997.814284141,1650244.02734943,Gambell,Jan,2019,4.738,ANICA (Gambell Native Store),Winter,2019/01/15 09:00:00+00,,28
-861997.814284141,1650244.02734943,Gambell,Jan,2016,5.65,ANICA (Gambell Native Store),Winter,2016/01/15 09:00:00+00,,500
1036362.75188977,1023817.93801456,Pelican,Jul,2017,3.43,Pelican Fuel ,Summer,2017/07/15 08:00:00+00,,440
1036362.75188977,1023817.93801456,Pelican,Jul,2018,4.3056,Pelican Fuel ,Summer,2018/07/15 08:00:00+00,,240
1036362.75188977,1023817.93801456,Pelican,Jan,2017,3.43,Pelican Fuel ,Winter,2017/01/15 09:00:00+00,,340
1036362.75188977,1023817.93801456,Pelican,Jan,2018,3.88,Pelican Fuel,Winter,2018/01/15 09:00:00+00,,168
1036362.75188977,1023817.93801456,Pelican,Jan,2019,4.07,Pelican Fuel,Winter,2019/01/15 09:00:00+00,,68
-307074.484708072,1451345.5736835,Grayling,Jan,2019,6,HYL Grayling Fuel Company,Winter,2019/01/15 09:00:00+00,,32
-307074.484708072,1451345.5736835,Grayling,Jul,2017,5.5,HYL Grayling Fuel Company,Summer,2017/07/15 08:00:00+00,,404
-307074.484708072,1451345.5736835,Grayling,Jan,2017,5.5,HYL Grayling Fuel Company,Winter,2017/01/15 09:00:00+00,,304
-307074.484708072,1451345.5736835,Grayling,Jul,2018,5.25,HYL Grayling Fuel Company,Summer,2018/07/15 08:00:00+00,,204
-307074.484708072,1451345.5736835,Grayling,Jan,2018,5.25,HYL Grayling Fuel Company,Winter,2018/01/15 09:00:00+00,,132
94894.1751459759,2021732.21131396,Anaktuvuk Pass,Jan,2016,8.85,Nunamiut Corporation,Winter,2016/01/15 09:00:00+00,,476
94894.1751459759,2021732.21131396,Anaktuvuk Pass,Jul,2017,7.2,Nunamiut Corporation,Summer,2017/07/15 08:00:00+00,,376
94894.1751459759,2021732.21131396,Anaktuvuk Pass,Jan,2017,7.35,Nunamiut Corporation,Winter,2017/01/15 09:00:00+00,,276
94894.1751459759,2021732.21131396,Anaktuvuk Pass,Jan,2018,7.2,Nunamiut Corporation,Winter,2018/01/15 09:00:00+00,,104
94894.1751459759,2021732.21131396,Anaktuvuk Pass,Jan,2019,7.2,Nunamiut Corporation,Winter,2019/01/15 09:00:00+00,,4
88385.3853077032,881147.13012034,Ouzinkie,Jan,2018,4.59,Ouzinkie Native Corporation,Winter,2018/01/15 09:00:00+00,,167
88385.3853077032,881147.13012034,Ouzinkie,Jan,2019,5.14,Ouzinkie Native Corporation,Winter,2019/01/15 09:00:00+00,,67
88385.3853077032,881147.13012034,Ouzinkie,Jul,2017,,Ouzinkie Native Corporation,Summer,2017/07/15 08:00:00+00,,439
88385.3853077032,881147.13012034,Ouzinkie,Jan,2017,,Ouzinkie Native Corporation,Winter,2017/01/15 09:00:00+00,,339
88385.3853077032,881147.13012034,Ouzinkie,Jul,2018,4.6865,Ouzinkie Native Corporation,Summer,2018/07/15 08:00:00+00,,239
128947.580591873,1051951.17416714,Seldovia,Jan,2019,5.71,Seldovia Fuel and Lube,Winter,2019/01/15 09:00:00+00,,82
128947.580591873,1051951.17416714,Seldovia,Jul,2017,4.12,Seldovia Fuel and Lube,Summer,2017/07/15 08:00:00+00,,454
128947.580591873,1051951.17416714,Seldovia,Jan,2017,3.88,Seldovia Fuel and Lube,Winter,2017/01/15 09:00:00+00,,354
128947.580591873,1051951.17416714,Seldovia,Jul,2018,5.14925,Seldovia Fuel and Lube,Summer,2018/07/15 08:00:00+00,,254
128947.580591873,1051951.17416714,Seldovia,Jan,2018,4.18,Seldovia Fuel and Lube,Winter,2018/01/15 09:00:00+00,,182
244851.204268498,1554216.24330167,Healy,Jan,2018,2.899,Fisher Fuel,Winter,2018/01/15 09:00:00+00,,134
244851.204268498,1554216.24330167,Healy,Jan,2019,2.67,Fisher Fuel,Winter,2019/01/15 09:00:00+00,,34
244851.204268498,1554216.24330167,Healy,Jul,2017,2.49,Keith's Healy Service,Summer,2017/07/15 08:00:00+00,,406
244851.204268498,1554216.24330167,Healy,Jan,2017,2.69,Keith's Healy Service,Winter,2017/01/15 09:00:00+00,,306
244851.204268498,1554216.24330167,Healy,Jul,2018,3.39,Fisher Fuel,Summer,2018/07/15 08:00:00+00,,206
95027.5224326542,866747.9369809,Kodiak,Jul,2017,3.249,Thompson Transfer,Summer,2017/07/15 08:00:00+00,,419
95027.5224326542,866747.9369809,Kodiak,Jan,2017,3.1,Petro Marine,Winter,2017/01/15 09:00:00+00,,319
95027.5224326542,866747.9369809,Kodiak,Jul,2018,3.97,Petro Marine,Summer,2018/07/15 08:00:00+00,,219
95027.5224326542,866747.9369809,Kodiak,Jan,2018,2.93,Petro Marine,Winter,2018/01/15 09:00:00+00,,147
95027.5224326542,866747.9369809,Kodiak,Jan,2019,3.85,Petro Marine,Winter,2019/01/15 09:00:00+00,,47
-578884.171153793,1762943.25312878,Brevig Mission,Jan,2019,4.6144,Brevig Mission Native Store,Winter,2019/01/15 09:00:00+00,,13
-578884.171153793,1762943.25312878,Brevig Mission,Jan,2016,6.41,Brevig Mission Native Store,Winter,2016/01/15 09:00:00+00,,485
-578884.171153793,1762943.25312878,Brevig Mission,Jul,2017,3.45,Brevig Mission Native Store,Summer,2017/07/15 08:00:00+00,,385
-578884.171153793,1762943.25312878,Brevig Mission,Jan,2017,4.22,Brevig Mission Native Store,Winter,2017/01/15 09:00:00+00,,285
-578884.171153793,1762943.25312878,Brevig Mission,Jan,2018,4.22,Brevig Mission Native Store,Winter,2018/01/15 09:00:00+00,,113
-136929.048131091,1645322.79517116,Galena,Jan,2018,5.699,Crowley Marine,Winter,2018/01/15 09:00:00+00,,127
-136929.048131091,1645322.79517116,Galena,Jan,2019,6.2279,Crowley Marine,Winter,2019/01/15 09:00:00+00,,27
-136929.048131091,1645322.79517116,Galena,Jan,2016,6.81,Crowley Marine,Winter,2016/01/15 09:00:00+00,,499
-136929.048131091,1645322.79517116,Galena,Jul,2017,6.4,Crowley Marine,Summer,2017/07/15 08:00:00+00,,399
